Timestamp,Reason,Price,ATR
2026-09-05 22:33:00,ATR too low (0.020% < 0.040%),79836.00,15.76
2026-09-05 22:43:00,ATR too low (0.020% < 0.040%),79791.99,15.73
2026-09-05 22:57:02,SL Cooldown: 30 min remaining,79778.00,12.65
2026-09-06 00:36:01,SL Cooldown: 25 min remaining,79895.99,16.46
2026-09-06 00:41:00,SL Cooldown: 20 min remaining,79905.21,16.12
2026-09-06 02:20:00,SL Cooldown: 30 min remaining,79942.00,17.15
2026-09-06 02:33:00,SL Cooldown: 17 min remaining,79936.31,9.59
2026-09-06 02:35:00,SL Cooldown: 15 min remaining,79938.00,8.30
2026-09-06 02:38:01,SL Cooldown: 12 min remaining,79912.00,8.45
2026-09-06 10:52:00,ATR too low (0.007% < 0.010%),79988.00,5.71
2026-09-06 11:24:52,SL Cooldown: 14 min remaining,79939.40,12.59
2026-09-06 11:25:00,SL Cooldown: 14 min remaining,79939.40,11.73
2026-09-06 12:17:00,SL Cooldown: 25 min remaining,79983.71,15.84
2026-09-06 12:34:00,Blackout: NY Open,79972.04,15.95
2026-09-06 12:59:00,SL Cooldown: 21 min remaining,79939.98,13.10
2026-09-06 13:12:00,SL Cooldown: 8 min remaining,79915.30,19.83
2026-09-06 13:13:00,SL Cooldown: 7 min remaining,79901.99,20.93
2026-09-06 13:16:00,SL Cooldown: 4 min remaining,79886.01,18.79
2026-09-06 19:27:00,ATR too low (0.009% < 0.010%),79861.63,6.81
2026-09-06 20:06:00,ATR too low (0.009% < 0.010%),79797.62,6.88
2026-09-06 20:07:01,ATR too low (0.009% < 0.010%),79797.62,6.88
2026-09-06 20:58:00,SL Cooldown: 28 min remaining,79899.36,12.65
2026-09-06 21:08:00,SL Cooldown: 18 min remaining,79941.99,11.88
2026-09-06 21:15:00,SL Cooldown: 11 min remaining,80003.70,21.50
2026-09-06 21:43:00,SL Cooldown: 28 min remaining,79947.19,11.31
2026-09-06 21:45:00,SL Cooldown: 26 min remaining,79910.00,16.40
2026-09-06 21:49:00,SL Cooldown: 22 min remaining,79951.85,26.56
2026-09-06 21:50:00,SL Cooldown: 21 min remaining,79948.90,27.63
2026-09-06 21:51:00,SL Cooldown: 20 min remaining,79929.69,30.12
2026-09-06 21:52:00,SL Cooldown: 19 min remaining,79915.23,31.79
